Product,Month,Units to order,Order date
Product_1,Jan,49,order before 2nd week of current month
Product_1,Feb,59,order between 25 to last day of previous month
Product_1,Mar,43,order between 25 to last day of previous month
Product_1,Apr,12,order between 25 to last day of previous month
Product_1,May,175,order before 2nd week of current month
Product_1,Jun,93,order between 25 to last day of previous month
Product_1,Jul,71,order before 2nd week of current month
Product_1,Aug,44,order before 2nd week of current month
Product_1,Sep,75,order before 2nd week of current month
Product_1,Oct,52,order between 25 to last day of previous month
Product_1,Nov,78,order before 2nd week of current month
Product_1,Dec,56,order before 2nd week of current month
